device_id,brand,os,usage_type,battery_capacity_wh,cpu_tdp_w,ram_gb,screen_size_inch,refresh_rate_hz,brightness_percent,cpu_usage_percent,gpu_usage_percent,wifi_on,bluetooth_on,temperature_c,battery_age_months,battery_health_percent,battery_life_hours
LAP00024,ASUS,Windows,Office,62.9,27.5,16,17.3,60,82,59,73,1,1,42.4,40,90.2,3.12
LAP00025,Acer,macOS,Video,68.2,8.5,8,17.1,60,32,21,96,1,1,43.3,17,92.9,4.65
LAP00026,HP,Windows,Browsing,56.7,30.6,16,11.7,60,56,83,81,1,1,47.4,34,91.8,2.81
LAP00027,ASUS,Windows,Office,32.9,16.1,8,15.5,60,63,66,53,1,1,36.1,40,87.7,2.14
LAP00028,Dell,Linux,Gaming,69.0,20.3,8,14.1,144,40,65,9,1,1,39.7,53,88.4,2.56
LAP00029,Apple,Linux,Video,55.2,33.5,16,14.4,60,37,65,6,1,1,41.0,58,85.2,2.19
LAP00030,Acer,Windows,Office,30.0,18.3,8,14.6,60,65,48,31,1,0,35.6,59,83.2,2.05
LAP00031,ASUS,Windows,Video,59.6,30.6,32,11.9,60,66,75,53,1,1,41.6,42,83.4,2.4
LAP00032,HP,Linux,Video,60.8,26.7,8,12.1,60,45,7,69,1,1,36.4,8,94.7,3.96
LAP00033,HP,Windows,Gaming,49.6,12.3,16,15.1,60,24,77,82,1,1,50.0,30,92.5,2.34
LAP00034,Lenovo,Windows,Coding,52.0,35.6,16,15.3,144,24,71,62,1,0,42.5,29,88.6,1.66
LAP00035,Lenovo,Windows,Browsing,46.1,36.2,8,14.7,144,50,12,33,1,1,33.2,36,90.5,2.95
LAP00036,MSI,Windows,Office,61.2,36.8,16,13.3,144,47,30,42,1,1,38.4,51,83.9,2.97
LAP00037,Dell,Windows,Office,57.1,47.9,16,14.4,90,96,19,4,1,1,33.2,49,86.8,2.87
LAP00038,ASUS,Linux,Coding,41.4,20.1,8,17.0,144,94,9,18,1,1,30.5,11,98.9,2.33
LAP00039,ASUS,Windows,Browsing,79.3,8.0,8,14.5,60,84,17,53,1,1,36.4,16,96.8,8.24
LAP00040,MSI,Windows,Coding,45.0,17.1,16,14.3,144,32,83,13,1,1,41.2,26,97.3,2.42
LAP00041,Apple,Windows,Office,30.0,36.5,8,16.7,60,37,16,9,1,1,36.4,20,95.7,2.25
LAP00042,Apple,Windows,Office,47.9,24.0,16,14.7,144,43,67,48,1,1,39.0,48,89.5,2.28
LAP00043,MSI,Linux,Gaming,70.5,8.1,32,16.0,60,48,12,10,1,0,32.5,47,86.0,4.87
LAP00044,Apple,Windows,Office,51.9,8.0,8,15.6,144,47,78,30,1,0,43.4,53,83.2,3.13
LAP00045,Lenovo,macOS,Browsing,30.5,42.0,16,13.8,90,64,38,65,1,1,43.0,26,93.8,1.65
LAP00046,ASUS,Windows,Video,39.6,32.3,16,13.6,60,30,76,9,0,1,38.0,53,88.6,1.64
LAP00047,MSI,Windows,Browsing,38.8,19.0,16,13.1,75,70,26,20,1,1,40.3,13,93.8,3.67
LAP00048,ASUS,Linux,Video,46.4,47.6,8,13.6,60,78,54,0,1,1,31.4,54,85.8,1.56
LAP00049,HP,Windows,Video,51.1,56.8,8,16.2,60,32,16,45,1,1,31.1,40,85.9,2.16
LAP00050,Lenovo,Windows,Office,62.4,37.4,4,13.8,60,66,26,94,0,1,41.3,53,84.4,3.38
LAP00051,Acer,Windows,Video,56.9,34.1,8,14.8,60,62,95,74,1,1,42.4,12,92.0,1.84
LAP00052,Lenovo,Windows,Coding,57.6,31.3,16,14.6,60,43,62,73,1,1,41.4,2,100.0,2.9
LAP00053,MSI,Linux,Office,81.7,35.3,8,15.5,60,67,86,19,1,1,43.3,23,98.7,3.35
LAP00054,Acer,macOS,Browsing,67.9,48.5,8,13.1,60,82,23,20,1,1,38.7,31,91.0,4.08
LAP00055,HP,Windows,Office,66.6,13.3,8,16.5,60,36,9,36,1,1,34.8,36,92.3,6.11
LAP00056,MSI,Windows,Gaming,30.0,20.9,8,17.0,60,88,20,100,1,1,41.5,55,87.1,1.26
LAP00057,Dell,Windows,Office,43.7,24.4,4,15.0,60,73,45,13,1,1,38.5,7,94.8,2.9
LAP00058,ASUS,Windows,Coding,31.0,31.9,8,11.9,165,33,78,57,1,1,39.1,34,89.8,1.19
LAP00059,HP,Linux,Coding,43.5,43.8,8,13.8,165,34,23,56,1,0,39.1,22,95.6,1.81
LAP00060,ASUS,Linux,Coding,66.9,30.0,16,15.4,144,92,69,56,1,1,42.8,15,95.7,2.68
LAP00061,Apple,Windows,Browsing,49.1,32.5,4,15.5,60,97,26,68,1,0,36.2,35,90.1,2.91
LAP00062,Dell,Windows,Office,71.1,33.1,16,14.6,120,29,21,69,1,0,35.2,8,100.0,4.29
LAP00063,Dell,Windows,Video,65.4,25.3,8,16.5,90,41,39,23,1,1,36.3,38,87.2,3.11
LAP00064,HP,Windows,Browsing,55.8,20.0,16,14.2,60,32,43,79,1,1,43.9,57,82.2,3.94
LAP00065,Dell,Linux,Browsing,71.4,25.9,4,16.4,165,100,77,59,1,1,47.2,17,96.2,3.42
LAP00066,Acer,Windows,Browsing,75.5,17.1,32,15.0,240,84,59,22,1,1,38.5,48,86.0,3.71
LAP00067,Dell,Linux,Office,61.8,17.4,16,14.2,120,33,9,46,1,0,37.9,53,88.2,4.41
LAP00068,ASUS,Windows,Gaming,58.4,29.4,8,16.0,60,63,77,37,1,1,38.9,30,86.8,1.78
LAP00069,ASUS,Linux,Browsing,64.5,19.3,8,14.9,90,58,15,79,1,1,36.8,37,87.3,5.04
LAP00070,MSI,Windows,Browsing,33.9,47.2,16,16.2,60,54,82,51,1,1,49.1,41,89.8,1.26
LAP00071,ASUS,Windows,Office,53.2,26.8,32,17.3,60,84,44,12,1,1,39.8,36,92.7,3.02
LAP00072,MSI,Windows,Video,54.6,41.3,16,13.7,120,46,92,7,1,1,39.2,46,88.3,1.38
LAP00073,ASUS,Linux,Coding,49.5,10.1,16,16.2,60,64,88,31,1,1,45.3,33,92.7,3.18
LAP00074,Acer,Windows,Office,43.2,10.4,8,15.9,60,76,8,85,1,1,36.1,46,86.1,3.52
LAP00075,MSI,Windows,Video,70.0,23.7,8,17.3,60,41,84,16,1,1,40.5,40,90.0,3.05
LAP00076,Lenovo,Windows,Coding,57.6,36.2,8,16.3,90,53,93,4,1,1,41.3,5,100.0,2.24
LAP00077,Apple,Windows,Gaming,58.9,19.1,8,17.2,165,28,62,71,1,0,39.1,35,91.3,1.87
LAP00078,HP,Windows,Video,76.4,23.8,4,13.6,75,69,69,49,1,1,43.1,54,86.7,3.23
LAP00079,ASUS,macOS,Office,52.1,37.0,4,13.2,60,73,92,93,1,1,52.6,13,94.3,2.05
LAP00080,Dell,Windows,Office,49.2,20.3,16,13.7,75,77,68,82,1,0,44.3,40,83.8,2.5
LAP00081,ASUS,Windows,Browsing,75.4,15.9,16,14.8,90,81,71,11,1,0,37.8,23,93.8,5.79
LAP00082,Dell,Windows,Office,32.6,33.5,8,16.9,144,57,100,88,1,0,47.3,32,90.8,1.02
LAP00083,Apple,Windows,Gaming,55.8,9.4,32,17.2,75,46,38,43,1,0,31.5,50,88.0,3.05
LAP00084,Apple,Windows,Office,43.9,20.5,8,14.5,60,83,93,76,0,1,40.0,41,86.9,2.2
LAP00085,Apple,Windows,Browsing,59.4,26.4,8,14.8,60,22,62,67,1,1,48.4,49,86.8,3.24
LAP00086,Dell,Windows,Video,63.6,31.3,16,13.4,165,30,71,58,1,1,41.8,18,94.9,2.25
LAP00087,ASUS,Windows,Coding,64.4,34.9,16,15.1,60,43,11,9,1,1,29.3,28,90.1,4.14
LAP00088,Apple,Linux,Browsing,70.4,36.7,32,14.7,120,48,39,47,1,1,35.8,52,83.9,3.45
LAP00089,Acer,Windows,Office,51.2,21.4,4,14.7,60,88,33,27,1,0,35.9,5,99.3,4.18
LAP00090,MSI,macOS,Office,52.1,36.5,8,16.7,120,27,29,4,1,1,33.1,2,97.5,3.0
LAP00091,Dell,Windows,Video,62.9,31.1,16,15.6,60,38,32,91,1,1,42.3,17,91.0,3.08
LAP00092,Dell,Windows,Browsing,68.3,33.7,8,13.2,60,87,92,43,1,1,40.6,20,93.6,3.18
LAP00093,ASUS,Windows,Office,35.5,17.4,4,11.6,60,88,73,30,1,1,42.5,28,90.9,2.26
LAP00094,Dell,Windows,Coding,59.7,33.0,16,15.8,75,67,31,15,1,0,36.7,51,84.2,2.98
LAP00095,Dell,macOS,Office,49.1,23.2,8,15.3,60,59,78,22,1,1,40.3,52,88.1,2.37
LAP00096,Apple,Linux,Coding,56.3,25.6,8,15.5,90,86,80,92,1,1,49.4,41,87.3,1.95
LAP00097,ASUS,Windows,Office,49.6,27.0,8,15.3,60,35,86,20,1,1,45.9,51,86.1,2.16
LAP00098,Apple,Windows,Office,44.2,50.4,4,13.4,120,83,12,1,1,1,30.7,35,87.1,2.13
LAP00099,MSI,Windows,Gaming,39.7,14.0,8,14.7,75,27,42,22,0,1,36.6,30,91.2,2.46
LAP00100,MSI,Windows,Coding,52.7,39.3,16,14.6,120,24,98,79,1,1,49.1,7,99.3,1.58
LAP00101,Apple,Windows,Browsing,60.4,42.2,8,14.9,60,91,13,10,1,1,34.3,31,92.1,4.29
LAP00102,MSI,macOS,Coding,46.0,34.9,32,16.2,144,44,47,72,1,1,43.7,15,91.5,1.87
LAP00103,ASUS,macOS,Video,72.8,18.6,8,14.2,60,72,29,1,1,0,35.6,21,86.6,4.7
LAP00104,HP,macOS,Video,91.9,45.4,32,13.4,60,68,98,81,1,0,50.4,1,98.7,2.71
LAP00105,Apple,Linux,Browsing,61.2,21.0,8,16.9,90,91,70,12,1,1,39.9,50,87.7,3.38
LAP00106,Acer,Windows,Gaming,54.4,33.2,8,14.0,75,40,21,44,1,1,38.4,14,99.5,2.59
LAP00107,Acer,Windows,Office,41.3,26.5,8,16.6,75,70,11,71,1,0,39.3,39,90.3,2.63
LAP00108,Dell,Windows,Browsing,60.6,20.6,8,17.3,144,65,26,9,1,1,33.4,16,95.4,4.03
LAP00109,MSI,Windows,Browsing,77.2,31.6,16,17.1,90,28,14,90,1,1,42.8,12,97.9,5.78
LAP00110,Acer,Windows,Browsing,84.2,47.6,8,15.9,144,83,94,80,1,1,43.4,53,88.2,2.24
LAP00111,Dell,Linux,Video,75.9,28.1,16,14.7,120,96,17,87,1,1,39.4,34,89.5,3.43
LAP00112,HP,Linux,Browsing,67.6,48.7,8,16.3,60,42,46,20,1,1,38.3,24,94.1,3.53
LAP00113,ASUS,macOS,Browsing,61.2,22.8,16,15.0,144,79,32,0,1,1,33.8,9,98.1,4.12
LAP00114,ASUS,Linux,Gaming,39.3,25.9,16,17.0,144,78,63,15,1,1,44.2,44,86.8,1.06
LAP00115,ASUS,macOS,Office,53.5,10.3,8,15.9,60,27,15,42,1,0,34.9,10,98.0,5.77
LAP00116,Acer,Windows,Browsing,51.8,18.3,16,15.5,60,83,13,96,1,1,43.4,32,82.0,3.69
LAP00117,HP,Linux,Browsing,53.6,22.4,16,15.1,90,73,84,5,1,1,38.9,13,94.9,3.3
LAP00118,Acer,Windows,Browsing,44.2,21.1,64,14.3,60,34,85,75,1,1,45.6,33,94.3,2.79
LAP00119,MSI,Windows,Browsing,66.4,13.5,8,15.0,60,71,59,95,1,1,45.4,21,92.2,5.52
LAP00120,Acer,macOS,Coding,50.9,15.9,32,15.4,240,70,9,10,1,0,31.5,43,86.4,2.3
LAP00121,HP,Linux,Browsing,49.7,21.6,32,14.6,60,23,73,81,1,1,41.7,3,98.2,3.18
LAP00122,HP,Windows,Browsing,44.3,39.2,16,15.4,60,53,42,65,1,1,41.3,43,84.4,2.3
LAP00123,MSI,Windows,Video,58.5,8.0,16,16.4,120,43,99,95,1,1,49.7,25,91.9,2.86
LAP00124,HP,Windows,Coding,77.5,8.0,32,15.4,60,40,70,48,1,1,40.5,0,100.0,6.95
LAP00125,HP,Windows,Office,54.8,8.0,64,14.3,144,21,95,19,1,1,36.3,9,99.8,4.19
LAP00126,ASUS,macOS,Coding,59.2,14.8,16,11.6,60,26,87,20,1,0,37.4,35,91.1,4.04
LAP00127,MSI,Windows,Office,84.0,32.6,8,16.7,90,75,68,35,0,1,36.5,1,97.5,4.45
LAP00128,Lenovo,Windows,Office,73.1,20.7,16,14.8,60,94,29,37,1,1,36.3,28,94.2,5.02
LAP00129,Lenovo,Windows,Coding,63.8,20.6,8,15.3,120,95,56,55,1,1,44.4,24,96.1,3.01
LAP00130,HP,Windows,Office,63.2,20.3,8,15.8,90,87,42,90,1,0,40.0,22,87.2,3.31
LAP00131,Lenovo,Windows,Gaming,46.0,8.0,64,15.8,165,54,81,10,1,0,42.3,53,85.1,1.8
LAP00132,Lenovo,macOS,Browsing,44.5,35.3,16,16.1,60,45,97,17,1,1,39.9,60,84.8,1.69
LAP00133,HP,Windows,Video,57.1,40.7,32,16.4,144,37,23,80,1,1,38.4,29,98.8,2.37
LAP00134,Lenovo,Windows,Browsing,57.5,21.0,16,16.1,90,83,29,97,1,1,40.4,59,85.7,3.52
LAP00135,Acer,Windows,Video,42.3,26.0,8,11.6,165,75,52,44,1,0,39.9,24,95.3,1.65
LAP00136,Dell,Windows,Coding,65.5,26.4,64,15.6,60,99,77,25,1,1,40.6,12,96.7,2.94
LAP00137,MSI,Linux,Video,50.8,12.2,8,15.4,90,74,65,58,1,1,42.6,39,89.5,2.7
LAP00138,Dell,Windows,Browsing,71.9,19.7,16,14.6,60,31,39,5,1,1,37.5,33,89.7,6.56
LAP00139,HP,Linux,Coding,54.2,46.4,16,15.7,60,56,55,42,1,0,41.5,34,93.7,2.37
LAP00140,ASUS,Windows,Coding,52.8,25.0,8,15.0,90,71,19,93,1,1,40.4,14,92.6,3.45
LAP00141,MSI,Windows,Video,40.9,27.7,4,14.2,144,38,90,51,1,0,45.4,38,86.4,1.33
LAP00142,HP,Windows,Coding,42.6,16.7,8,16.7,90,34,81,61,1,1,42.2,41,90.8,2.01
LAP00143,ASUS,Windows,Coding,74.8,19.8,16,15.5,60,71,53,95,1,1,42.6,19,90.1,3.46
LAP00144,Dell,Linux,Office,59.0,32.8,8,15.2,60,96,34,16,1,0,35.6,42,91.5,3.64
LAP00145,HP,Windows,Office,60.8,14.9,8,12.1,60,45,25,76,1,1,39.6,21,96.5,5.02
LAP00146,MSI,Windows,Office,79.0,44.4,16,17.3,240,64,93,45,1,0,41.2,24,95.6,2.07
LAP00147,MSI,Windows,Browsing,35.2,8.0,16,12.4,60,40,93,40,0,1,37.9,54,86.5,3.33
LAP00148,Apple,Windows,Gaming,65.1,17.4,4,15.7,60,100,90,12,1,1,41.7,13,98.7,2.87
LAP00149,Acer,macOS,Video,31.2,8.0,16,16.0,60,72,45,5,1,1,32.9,18,96.1,2.68
LAP00150,Lenovo,Windows,Gaming,48.4,40.9,4,17.3,60,48,7,85,1,1,41.8,45,85.6,1.97
LAP00151,ASUS,Windows,Browsing,37.8,24.6,4,13.7,60,67,77,96,1,1,48.9,21,94.9,2.17
LAP00152,Apple,macOS,Gaming,67.9,21.6,8,13.9,75,38,28,32,1,1,37.7,22,85.9,3.05
LAP00153,Lenovo,Windows,Video,30.0,29.8,16,16.1,144,73,100,3,1,0,38.2,0,96.5,1.0
LAP00154,Lenovo,Windows,Coding,51.5,41.8,4,15.9,144,97,21,77,1,0,41.3,60,80.0,1.77
LAP00155,HP,Windows,Coding,37.6,27.6,4,17.3,144,21,92,49,1,1,43.1,38,91.7,1.3
LAP00156,Lenovo,Windows,Office,42.2,38.7,8,16.5,165,51,12,47,1,1,37.5,29,92.7,2.3
LAP00157,Acer,Linux,Video,44.5,21.5,32,14.5,60,81,10,98,1,1,41.6,4,100.0,2.9
LAP00158,MSI,Windows,Coding,74.8,13.5,32,14.8,60,26,13,26,1,1,28.9,29,94.6,7.21
LAP00159,Apple,Windows,Browsing,50.0,27.8,8,15.7,60,87,19,5,1,1,29.7,6,93.2,4.04
LAP00160,Lenovo,macOS,Office,80.9,16.6,8,12.9,90,41,68,57,1,1,47.1,60,80.5,4.15
LAP00161,HP,Windows,Gaming,84.0,33.3,32,15.8,90,48,92,62,1,0,41.5,12,97.1,2.26
LAP00162,Acer,Windows,Gaming,86.7,20.1,8,15.9,120,22,54,0,1,1,38.1,30,90.6,3.4
LAP00163,Dell,Windows,Gaming,54.1,24.0,8,13.9,60,41,15,27,1,1,30.8,6,98.1,3.7
LAP00164,MSI,Linux,Coding,58.2,8.0,8,14.7,60,72,99,28,1,1,47.6,53,87.6,3.79
LAP00165,MSI,Windows,Browsing,60.7,23.5,64,12.2,90,76,50,95,1,1,42.9,28,90.2,3.89
LAP00166,Apple,Windows,Browsing,49.5,22.1,16,16.3,60,29,49,27,1,1,37.8,50,85.8,3.3
LAP00167,MSI,Windows,Browsing,61.4,39.0,8,15.6,144,59,81,90,1,1,50.4,24,94.6,2.48
LAP00168,Lenovo,Windows,Browsing,41.0,35.4,4,13.2,165,39,98,73,0,1,52.6,12,99.5,1.75
LAP00169,HP,Linux,Office,30.0,25.3,32,13.5,60,30,63,81,0,1,43.7,47,85.4,1.62
LAP00170,MSI,Windows,Browsing,65.7,8.0,8,14.4,144,27,29,67,0,1,40.4,52,85.6,5.18
LAP00171,MSI,Windows,Office,49.8,19.7,16,16.2,90,55,16,40,1,1,35.0,56,86.5,3.25
LAP00172,Dell,Windows,Gaming,40.3,39.0,8,15.7,60,44,89,54,1,0,50.3,14,93.1,1.11
LAP00173,Dell,Windows,Office,42.2,22.6,16,13.8,60,58,92,31,1,1,47.9,50,85.6,2.04
LAP00174,ASUS,Linux,Gaming,77.7,12.2,8,14.2,60,81,30,68,1,1,39.4,29,96.3,4.19
LAP00175,Acer,Windows,Coding,62.0,38.8,16,15.1,90,40,80,21,1,0,43.2,6,94.6,2.11
LAP00176,Lenovo,Linux,Browsing,32.2,8.0,8,13.9,60,38,41,56,1,1,42.6,4,100.0,3.67
LAP00177,MSI,Windows,Office,37.2,23.6,8,14.3,144,44,89,21,1,0,40.4,13,97.7,1.99
LAP00178,MSI,Windows,Browsing,50.6,31.7,16,16.0,240,24,27,65,1,1,38.0,29,91.8,2.35
LAP00179,HP,Windows,Office,62.1,26.5,16,13.3,60,31,69,40,1,1,44.5,22,96.8,3.61
LAP00180,ASUS,Windows,Coding,43.1,10.1,8,14.8,60,44,49,42,1,1,35.3,15,96.2,3.55
LAP00181,Acer,Windows,Browsing,52.4,13.8,4,14.7,120,24,78,33,1,1,43.9,23,89.6,3.81
LAP00182,ASUS,Linux,Browsing,56.7,16.6,16,14.9,144,95,39,1,1,1,36.4,42,84.8,3.64
LAP00183,Apple,Windows,Office,57.0,34.4,16,15.4,60,46,52,58,1,1,38.8,55,82.6,2.52
LAP00184,Acer,Windows,Gaming,30.0,27.0,16,15.9,75,23,32,35,1,1,39.9,20,91.9,1.44
LAP00185,MSI,Linux,Video,58.3,20.3,8,16.1,165,64,5,7,1,1,32.4,42,85.4,2.84
LAP00186,MSI,Linux,Video,30.0,29.9,8,14.5,60,66,76,32,1,1,39.7,29,89.5,1.27
LAP00187,Acer,Windows,Browsing,50.7,16.0,16,14.8,60,47,45,32,1,1,33.7,11,96.4,4.67
LAP00188,MSI,Windows,Video,47.5,33.9,8,15.5,240,54,27,67,1,1,37.2,52,86.3,1.35
LAP00189,Lenovo,Windows,Video,38.8,30.4,32,15.3,60,35,88,17,1,1,39.1,44,89.5,1.32
LAP00190,Acer,Linux,Coding,67.6,22.3,16,15.8,60,31,36,63,1,1,37.9,39,90.5,4.48
LAP00191,ASUS,Linux,Gaming,38.1,23.1,16,15.6,60,99,91,60,1,1,44.4,29,96.9,1.5
LAP00192,Acer,Linux,Office,47.2,20.9,8,13.8,60,94,11,82,1,1,41.5,37,87.8,3.32
LAP00193,MSI,Linux,Gaming,68.2,37.0,8,17.3,240,62,79,9,1,1,36.3,21,93.1,1.42
LAP00194,Lenovo,Windows,Gaming,46.7,27.6,16,15.0,60,47,59,49,1,1,37.8,1,99.4,2.1
LAP00195,Lenovo,Linux,Browsing,43.6,22.4,8,16.0,144,100,76,93,1,1,45.3,22,94.7,1.98
LAP00196,Apple,Windows,Office,51.0,13.4,32,15.9,60,38,47,21,1,1,45.1,41,87.5,3.8
LAP00197,ASUS,Windows,Gaming,63.1,32.1,16,15.4,60,94,18,38,1,1,30.5,22,93.5,3.03
LAP00198,Dell,Windows,Browsing,76.7,31.5,8,15.4,120,87,18,64,1,1,31.2,21,94.5,4.71
LAP00199,Dell,macOS,Coding,41.0,18.7,8,16.3,165,93,45,29,1,0,41.6,29,89.9,1.88
LAP00200,Acer,Linux,Gaming,42.2,20.0,16,14.7,60,74,95,4,0,1,40.2,26,92.9,1.77
LAP00201,Apple,Windows,Coding,50.9,23.6,4,16.1,90,55,88,25,0,0,40.1,33,89.3,2.38
LAP00202,HP,Linux,Browsing,58.5,11.2,16,15.7,60,81,93,62,1,1,47.2,10,94.9,4.92
LAP00203,Acer,Linux,Coding,43.4,25.9,16,16.6,144,58,97,45,1,1,47.3,28,94.9,1.58
LAP00204,Apple,Windows,Browsing,65.3,8.0,8,14.3,165,60,18,30,1,1,37.0,36,88.6,5.13
LAP00205,ASUS,Windows,Coding,41.2,9.6,16,15.1,120,79,32,40,1,1,38.7,5,100.0,2.52
LAP00206,ASUS,Windows,Browsing,30.0,18.9,16,13.8,120,85,34,11,1,0,32.9,15,93.8,2.3
LAP00207,ASUS,Windows,Coding,63.0,17.5,64,16.6,60,78,83,16,1,0,43.2,59,81.1,3.0
LAP00208,ASUS,Windows,Coding,64.7,30.4,16,14.0,60,59,58,17,1,1,39.5,19,92.6,2.99
LAP00209,ASUS,Windows,Video,70.7,28.4,16,15.5,60,38,63,65,1,1,46.8,9,94.9,2.95
LAP00210,Apple,macOS,Coding,30.0,41.5,8,14.4,60,74,89,87,1,1,52.0,45,84.4,1.0
LAP00211,Apple,Windows,Coding,45.0,26.1,8,16.6,144,65,16,91,1,1,36.5,37,89.9,2.18
LAP00212,Lenovo,Linux,Coding,51.2,27.5,4,14.9,60,23,79,38,1,1,47.6,36,88.3,2.09
LAP00213,Dell,Windows,Browsing,81.4,11.0,16,15.9,60,81,43,73,1,1,39.6,58,81.4,6.18
LAP00214,MSI,Windows,Coding,52.6,11.1,8,13.5,144,44,74,32,1,1,37.2,9,99.1,3.13
LAP00215,ASUS,Windows,Browsing,34.8,25.8,16,14.1,240,82,71,87,1,0,50.5,43,91.4,1.41
LAP00216,HP,Windows,Gaming,59.5,26.0,8,15.8,75,89,19,74,1,1,40.7,24,92.0,2.77
LAP00217,MSI,Linux,Browsing,74.6,28.5,16,16.8,75,32,8,7,1,1,28.0,58,81.9,6.01
LAP00218,Apple,Windows,Office,71.4,40.2,16,15.7,60,23,48,90,0,1,41.4,21,91.3,3.73
LAP00219,HP,Windows,Coding,63.4,11.6,16,17.3,60,21,43,25,1,0,35.0,31,91.3,5.06
LAP00220,HP,Windows,Office,58.9,45.3,32,16.1,60,86,74,75,1,1,43.2,16,95.2,2.08
LAP00221,HP,macOS,Browsing,30.0,8.0,16,15.0,165,49,90,34,1,1,49.1,25,92.8,2.01
LAP00222,Lenovo,Windows,Coding,55.4,29.5,8,14.6,120,23,41,56,1,1,38.8,15,97.1,2.79
LAP00223,Apple,Windows,Coding,57.7,10.0,16,17.3,144,67,62,78,1,0,42.2,9,95.5,3.1
LAP00224,HP,Windows,Video,52.6,33.7,16,16.1,60,62,36,20,1,1,39.0,16,93.9,2.42
LAP00225,ASUS,Linux,Office,65.6,8.0,16,14.3,60,64,32,36,0,1,35.3,1,100.0,7.5
LAP00226,Acer,Windows,Coding,52.4,8.0,32,14.1,60,32,94,93,1,1,55.9,1,99.6,3.9
LAP00227,HP,Windows,Office,49.5,26.8,8,14.1,144,66,8,4,1,1,31.9,28,92.5,3.75
LAP00228,Lenovo,Windows,Coding,70.6,23.5,16,15.7,60,47,14,16,1,1,35.9,45,82.6,5.23
LAP00229,MSI,Windows,Coding,48.8,38.3,8,12.9,60,56,31,89,1,1,46.7,58,82.3,2.02
LAP00230,Apple,Windows,Coding,56.0,25.9,16,14.3,60,47,88,97,1,1,45.9,3,100.0,2.52
LAP00231,Lenovo,Windows,Browsing,68.5,16.1,8,15.4,120,46,40,96,1,1,44.8,29,91.9,4.12
LAP00232,HP,Windows,Browsing,39.8,18.5,8,15.0,75,49,9,81,1,1,35.9,60,84.1,3.01
LAP00233,Apple,Windows,Browsing,38.2,63.6,32,14.4,75,25,85,24,1,1,42.7,57,83.8,1.11
LAP00234,Acer,Linux,Browsing,75.4,14.5,8,16.0,60,28,54,60,1,1,35.6,11,98.2,7.13
LAP00235,HP,Windows,Office,46.1,31.3,64,16.0,75,25,36,93,1,1,40.2,33,88.4,2.31
